1,Alice,99.99,25,1.65,true,2023-01-01,2023-01-01 10:30:00,123.45
2,Bob,invalid,30,1.75,false,2023-01-02,2023-01-02 12:00:00,456.78
null,Dilara,120.00,28,1.70,no,2023-01-0,2023-01-02 09:00:00
3,Charlie,150.50,,1.80,true,invalid,2023-01-03 14:15:00,789.12
4,Alice,99.99,25,1.65,true,2023-01-01,2023-01-01 10:30:00,123.45
5,David,200.25,40,1.90,not_a_boolean,2023-01-04,invalid,999.99
,,300.00,50,2.00,true,2023-01-05,2023-01-05 16:00:00,0.00
7,Eve,250.75,35,1.68,false,2023-01-06,2023-01-06 11:45:00,555.55,and,we,add,extra,columns
8,Frank,175.00,45,1.82,true,2023-01
9,Grace
